nome,email,cucina,zona,telefono,sito,link_demo,piatti
"170 Grammi","ciao@170grammi.com.au","pizza","Surry Hills e Darlinghurst","","https://170grammi.com.au","https://gustobolsa-chat.pages.dev/?restaurant=170-grammi&table=1","21"
"3 Wise Monkeys","info@3wisemonkeys.com.au","Pub","Haymarket e Chinatown","(02) 9283 5855","http://www.3wisemonkeys.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=3-wise-monkeys&table=1","29"
"4 Doors Down","4doors@themercantilehotel.com.au","Café","Circular Quay e The Rocks","(02) 8358 2340","https://www.themercantilehotel.com.au/4-doors-down","https://gustobolsa-chat.pages.dev/?restaurant=4-doors-down&table=1","23"
"6Head","info@6head.com.au","Steakhouse","Circular Quay e The Rocks","(02) 8629 8866","https://6head.com.au","https://gustobolsa-chat.pages.dev/?restaurant=6head&table=1","18"
"8848 Momo House","support@8848momos.com.au","Dumpling Restaurant","Centro citta' (CBD)","(02) 8022 8365","http://www.8848momos.com.au","https://gustobolsa-chat.pages.dev/?restaurant=8848-momo-house&table=1","20"
"Abb Air Thai","hello@abbair.com.au","","Surry Hills e Darlinghurst","+61 2 8068 2564","https://abbair.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=abb-air-thai&table=1","63"
"ABODE Bistro.Bar","rsvp@abodebistro.com","Australian Restaurant","Centro citta' (CBD)","(02) 9260 2945","http://abodebistro.com","https://gustobolsa-chat.pages.dev/?restaurant=abode-bistro-bar&table=1","23"
"Ajisen Ramen [味千ラーメン]","info@ajisenramensydney.com.au","Ramen Restaurant","Haymarket e Chinatown","(02) 9267 8816","http://ajisenramensydney.com.au","https://gustobolsa-chat.pages.dev/?restaurant=ajisen-ramen&table=1","34"
"Akti","reservations@aktisydney.com.au","greek","Potts Point e Kings Cross","","https://www.akti.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=akti&table=1","27"
"Al Aseel","hello@alaseel.com.au","lebanese","Newtown","+61 2 9550 3194","https://www.alaseel.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=al-aseel&table=1","68"
"Albion Place Hotel","info@albionplacehotel.com.au","","Centro citta' (CBD)","","https://albionplacehotel.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=albion-place-hotel&table=1","29"
"Alchemy Polish Cafe Restaurant","alchemy572@gmail.com","Polish Restaurant","Surry Hills e Darlinghurst","(02) 9699 2455","http://www.alchemy-restaurant.com","https://gustobolsa-chat.pages.dev/?restaurant=alchemy-polish-cafe-restaurant&table=1","29"
"Alex Lee Kitchen","media@kensingtonstreet.com.au","Singaporean Restaurant","Haymarket e Chinatown","(02) 9281 0822","https://spicealley.com.au/alex-lee-kitchen","https://gustobolsa-chat.pages.dev/?restaurant=alex-lee-kitchen&table=1","34"
"Alpha","dining@dedesgroup.com.au","Modern_Greek","Centro citta' (CBD)","","http://www.alpharestaurant.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=alpha&table=1","19"
"Amalfi Restaurant Bondi Beach","info@amalfibondibeach.com.au","Restaurant","Bondi Beach","0405 441 522","https://www.amalfibondibeach.com.au","https://gustobolsa-chat.pages.dev/?restaurant=amalfi-restaurant-bondi-beach&table=1","35"
"Amuro","info@amuro.au","Japanese Restaurant","Surry Hills e Darlinghurst","","https://amuro.au","https://gustobolsa-chat.pages.dev/?restaurant=amuro&table=1","22"
"Ante","work@ante.bar","Bar","Newtown","","https://www.ante.bar","https://gustobolsa-chat.pages.dev/?restaurant=ante&table=1","9"
"Apollonia","hello@hinchcliffhouse.com","Cocktail Bar","Circular Quay e The Rocks","(02) 7228 1400","https://apollonia.sydney","https://gustobolsa-chat.pages.dev/?restaurant=apollonia&table=1","23"
"Ardi’s Block to Grill","hello@ardisblocktogrill.com","Steakhouse","Surry Hills e Darlinghurst","(02) 9319 4313","https://www.ardisblocktogrill.com","https://gustobolsa-chat.pages.dev/?restaurant=ardi-s-block-to-grill&table=1","49"
"Aria Restaurant","res.ariasydney@solotel.com.au","Australian Restaurant","Circular Quay e The Rocks","(02) 9240 2255","https://www.ariasydney.com.au","https://gustobolsa-chat.pages.dev/?restaurant=aria-restaurant&table=1","19"
"Arthouse Hotel","info@ahhotel.com.au","","Centro citta' (CBD)","+61 2 9284 1200","https://www.ahhotel.com.au","https://gustobolsa-chat.pages.dev/?restaurant=arthouse-hotel&table=1","27"
"Arthouse Kitchen","arthousekitchen@hotmail.com","","Surry Hills e Darlinghurst","","https://arthousekitchen.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=arthouse-kitchen&table=1","21"
"Arthur Surry Hills","hello@arthurrestaurant.com","Australian Restaurant","Surry Hills e Darlinghurst","0468 991 088","http://www.arthurrestaurant.com","https://gustobolsa-chat.pages.dev/?restaurant=arthur-surry-hills&table=1","24"
"Arthur's Pizza","bondijunction@arthurspizza.com.au","pizza","Glebe","","https://www.arthurspizza.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=arthur-s-pizza&table=1","71"
"Artistry Garden","info@artistrygarden.com","French Restaurant","Centro citta' (CBD)","(02) 9241 7101","https://artistrygarden.com","https://gustobolsa-chat.pages.dev/?restaurant=artistry-garden&table=1","19"
"Australian Wine Emporium","hello@australianheritagehotel.com","Restaurant","Circular Quay e The Rocks","(02) 9247 2229","http://www.australianheritagehotel.com","https://gustobolsa-chat.pages.dev/?restaurant=australian-wine-emporium&table=1","46"
"Avi's Kantini","res.bankhotel@solotel.com.au","Middle Eastern Restaurant","Newtown","(02) 8568 1900","https://www.bankhotel.com.au/avis-kantini","https://gustobolsa-chat.pages.dev/?restaurant=avi-s-kantini&table=1","8"
"Azuma","azuma@azuma.com.au","Japanese Restaurant","Centro citta' (CBD)","(02) 9222 9960","https://azuma.com.au","https://gustobolsa-chat.pages.dev/?restaurant=azuma&table=1","15"
"Bake Bar","info@bakebar.com.au","","Double Bay e Darling Point","","https://www.bakebar.com.au/cafe-bakery-double-bay/","https://gustobolsa-chat.pages.dev/?restaurant=bake-bar&table=1","26"
"Balcony Coffee Shop","mark@petrel.biz","Café","Centro citta' (CBD)","(02) 9233 7260","http://www.dymockscafe.com.au","https://gustobolsa-chat.pages.dev/?restaurant=balcony-coffee-shop&table=1","28"
"Bang Tang","nahmkhong@gmail.com","Asian Restaurant","Potts Point e Kings Cross","(02) 8542 0133","https://www.bangtangpottspoint.com","https://gustobolsa-chat.pages.dev/?restaurant=bang-tang&table=1","30"
"Bar Cleveland","info@barcleveland.com.au","Pub","Surry Hills e Darlinghurst","(02) 9698 1908","http://www.barcleveland.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bar-cleveland&table=1","15"
"Bar Conte","info@barconte.com.au","Bar","Surry Hills e Darlinghurst","(02) 7254 1170","http://www.barconte.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bar-conte&table=1","8"
"Bar Copains","hello@barcopains.com","Wine Bar","Surry Hills e Darlinghurst","","https://barcopains.com","https://gustobolsa-chat.pages.dev/?restaurant=bar-copains&table=1","25"
"Bar Cycle","alberto@barcycle.com.au","Café","Circular Quay e The Rocks","(02) 9252 2274","http://www.barcycle.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bar-cycle&table=1","20"
"Bar Mammoni","barmammoni@hinchcliffhouse.com","","Circular Quay e The Rocks","","https://barmammoni.sydney/","https://gustobolsa-chat.pages.dev/?restaurant=bar-mammoni&table=1","26"
"Basax Korean Chicken","basaxpitt@gmail.com","Korean Restaurant","Haymarket e Chinatown","(02) 8880 5543","http://www.basax.com.au","https://gustobolsa-chat.pages.dev/?restaurant=basax-korean-chicken&table=1","18"
"Bellevue Woolloomooloo","info@bellevuewoolloomooloo.com.au","french","Potts Point e Kings Cross","","https://bellevuewoolloomooloo.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=bellevue-woolloomooloo&table=1","35"
"Bellucci Cucina","eat@bellucci.com.au","fish, italian, italian_pizza","Centro citta' (CBD)","+61 2 9252 5325","https://www.bellucci.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=bellucci-cucina&table=1","17"
"Bengong Black","cakeorder@bengongstea.com.au","Bubble Tea Shop","Haymarket e Chinatown","(02) 8518 1885","https://bengongstea.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bengong-black&table=1","12"
"Bennelong","info@bennelong.com.au","","Circular Quay e The Rocks","+61 2 9240 8000","https://www.bennelong.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=bennelong&table=1","18"
"Beppi's","beppis@beppis.com.au","Italian Restaurant","Centro citta' (CBD)","(02) 9360 4558","http://www.beppis.com.au","https://gustobolsa-chat.pages.dev/?restaurant=beppi-s&table=1","35"
"Big Fish Bistro & Bar","info@bigfish.com","Seafood Restaurant","Glebe","","https://bigfish-sydneyfishmarket.com","https://gustobolsa-chat.pages.dev/?restaurant=big-fish-bistro-bar&table=1","12"
"Bistro Ebony","manager@bistroebony.com.au","Food and Beverage Retail","Centro citta' (CBD)","(02) 9150 5230","https://www.bistroebony.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bistro-ebony&table=1","12"
"Bistro Papillon","bonjour@bistropapillon.com.au","French Restaurant","Centro citta' (CBD)","(02) 9262 2402","http://www.bistropapillon.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bistro-papillon&table=1","32"
"Blackbird Café","blackbird@blackbirdcafe.com.au","","Centro citta' (CBD)","","https://blackbirdcafe.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=blackbird-cafe&table=1","8"
"Blackwood Bondi","info@blackwoodhospitality.com.au","Café","Bondi Beach","(02) 9544 4857","https://www.blackwoodhospitality.com.au","https://gustobolsa-chat.pages.dev/?restaurant=blackwood-bondi&table=1","29"
"Bloodwood Restaurant & Bar","info@bloodwoodnewtown.com","Australian Restaurant","Newtown","(02) 9557 7699","http://www.bloodwoodnewtown.com","https://gustobolsa-chat.pages.dev/?restaurant=bloodwood-restaurant-bar&table=1","23"
"Blue Eye Dragon","eat@blueeyedragon.com.au","Asian Restaurant","Pyrmont","0455 455 255","http://www.blueeyedragon.com.au","https://gustobolsa-chat.pages.dev/?restaurant=blue-eye-dragon&table=1","16"
"Bluewater Cafe","info@bluewatercafe.com.au","Café","Manly","(02) 9976 2051","https://bluewatercafe.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bluewater-cafe&table=1","90"
"Bondi Icebergs","events@icebergs.com.au","Social Club","Bondi Beach","(02) 9130 3120","http://www.icebergs.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bondi-icebergs&table=1","16"
"Bondi Trattoria","info@bonditrattoria.com.au","Italian Restaurant","Bondi Beach","(02) 9365 4303","https://www.bonditrattoria.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bondi-trattoria&table=1","125"
"Bopp & Tone","book@boppandtone.com.au","","Centro citta' (CBD)","","https://boppandtone.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=bopp-tone&table=1","16"
"Bōrn by Tapavino","bookings@borntapavino.com.au","Spanish Restaurant","Centro citta' (CBD)","(02) 8072 7387","http://www.borntapavino.com.au","https://gustobolsa-chat.pages.dev/?restaurant=born-by-tapavino&table=1","27"
"Bottega Coco","info@bottegacoco.com.au","","Centro citta' (CBD)","","https://bottegacoco.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=bottega-coco&table=1","25"
"Bourke Street Bakery","info@bourkestreetbakery.com.au","Bakery","Centro citta' (CBD)","(02) 8313 9468","http://www.bourkestreetbakery.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bourke-street-bakery&table=1","94"
"Bowery Lane","events@bowerylane.com.au","Café","Centro citta' (CBD)","(02) 9252 8017","http://www.bowerylane.com.au","https://gustobolsa-chat.pages.dev/?restaurant=bowery-lane&table=1","39"
"Braza Churrascaria","book@braza.com.au","Churrascaria","Centro citta' (CBD)","(02) 9572 7921","http://www.braza.com.au","https://gustobolsa-chat.pages.dev/?restaurant=braza-churrascaria&table=1","55"
"Brooksy Bar","info@brooksybar.com","Bar","Centro citta' (CBD)","(02) 9696 2500","http://www.brooksybar.com","https://gustobolsa-chat.pages.dev/?restaurant=brooksy-bar&table=1","8"
"Btwn","bf.sydney@whotels.com","Australian Restaurant","Centro citta' (CBD)","(02) 9072 0090","https://www.btwnsydney.com.au","https://gustobolsa-chat.pages.dev/?restaurant=btwn&table=1","29"
"Bullion Bar","reservations@bullionbaranddining.com.au","","Centro citta' (CBD)","","https://www.bullionbaranddining.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=bullion-bar&table=1","20"
"Buon Ricordo Ristorante","buonricordo@buonricordo.com.au","italian","Surry Hills e Darlinghurst","","https://buonricordo.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=buon-ricordo-ristorante&table=1","21"
"Burdekin","bookings@burdekin.com.au","","Surry Hills e Darlinghurst","","https://burdekin.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=burdekin&table=1","8"
"Busshari Japanese Restaurant","busshari@busshari.com.au","asian, sushi, japanese","Potts Point e Kings Cross","+61 2 9357 4555","https://busshari.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=busshari-japanese-restaurant&table=1","47"
"Busta","pasta@busta.com.au","Italian Restaurant","Manly","(02) 8966 9917","https://www.busta.com.au","https://gustobolsa-chat.pages.dev/?restaurant=busta&table=1","12"
"Cafe 18","info@18footers.com","breakfast, coffee_shop","Double Bay e Darling Point","","https://18footers.com/bar-and-dining/cafe/","https://gustobolsa-chat.pages.dev/?restaurant=cafe-18&table=1","55"
"Cafe Del Mar","fareed@thedigify.agency","Cocktail Bar","Centro citta' (CBD)","(02) 9267 6700","http://www.cafedelmar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=cafe-del-mar&table=1","45"
"Cafe Felix","info@finexsolutions.com.au","coffee_shop","Newtown","","https://cafefelixsydney.com/","https://gustobolsa-chat.pages.dev/?restaurant=cafe-felix&table=1","21"
"Cafe Kentaro","info@cafekentaro.com.au","Café","Surry Hills e Darlinghurst","(02) 9699 2665","https://www.cafekentaro.com.au","https://gustobolsa-chat.pages.dev/?restaurant=cafe-kentaro&table=1","29"
"Cafe Paci","info@cafepaci.com.au","Australian Restaurant","Newtown","(02) 9550 6196","https://www.cafepaci.com.au","https://gustobolsa-chat.pages.dev/?restaurant=cafe-paci&table=1","21"
"Cafe Sydney","reservations@cafesydney.com","Australian Restaurant","Circular Quay e The Rocks","(02) 9251 8683","http://www.cafesydney.com","https://gustobolsa-chat.pages.dev/?restaurant=cafe-sydney&table=1","32"
"Café Trim","admin@laissez.com.au","Café","Centro citta' (CBD)","(02) 9273 1213","http://www.laissez.com.au","https://gustobolsa-chat.pages.dev/?restaurant=cafe-trim&table=1","15"
"Caffe Roma","info@sydneycafferoma.com.au","","Potts Point e Kings Cross","","https://www.cafferoma.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=caffe-roma&table=1","111"
"Caffeine Cartel","info@caffeinecartelsydney.com","Café","Centro citta' (CBD)","(02) 8320 6172","https://www.caffeinecartelsydney.com","https://gustobolsa-chat.pages.dev/?restaurant=caffeine-cartel&table=1","21"
"Calaveras","calaveras2042@hotmail.com","Mexican Restaurant","Newtown","0451 541 712","http://www.calaverasmexican.com.au","https://gustobolsa-chat.pages.dev/?restaurant=calaveras&table=1","89"
"Callao","info@callao.com.au","","Centro citta' (CBD)","+61 2 8529 8996","https://callao.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=callao&table=1","45"
"Carbon Mexican Woodfire","info@carbonmexican.com.au","Restaurant","Bondi Beach","(02) 9365 6092","http://www.carbonmexican.com.au","https://gustobolsa-chat.pages.dev/?restaurant=carbon-mexican-woodfire&table=1","63"
"Cardea","info@cardeasydney.com.au","","Centro citta' (CBD)","","https://cardeasydney.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=cardea&table=1","21"
"Cartel","manager@kscartel.com.au","South American Restaurant","Haymarket e Chinatown","(02) 9211 8376","http://www.cartelkensingtonstreet.com.au","https://gustobolsa-chat.pages.dev/?restaurant=cartel&table=1","20"
"Casa di Nico","dine@lovecasa.com.au","italian","Centro citta' (CBD)","+61 2 9279 4115","https://lovecasa.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=casa-di-nico&table=1","14"
"Cellini's Cafe Bar and Restaurant","leekelly4@aol.com","Italian Restaurant","Centro citta' (CBD)","(02) 9264 4671","http://www.cellinis.net.au","https://gustobolsa-chat.pages.dev/?restaurant=cellini-s-cafe-bar-and-restaurant&table=1","120"
"Chaco Bar","info@chacobar.com.au","Japanese Restaurant","Potts Point e Kings Cross","(02) 8593 4567","http://chacobar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=chaco-bar&table=1","38"
"Chamberlain Hotel","c-bar@reservehotels.com.au","Pub","Haymarket e Chinatown","(02) 9288 0888","http://www.chamberlainhotel.com.au","https://gustobolsa-chat.pages.dev/?restaurant=chamberlain-hotel&table=1","17"
"Chapter E","chapterepty@gmail.com","","Surry Hills e Darlinghurst","","https://chapteredarlinghurst.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=chapter-e&table=1","11"
"Chapter Five","reservations@thecastlereagh.com.au","","Centro citta' (CBD)","","https://www.thecastlereagh.com.au/dining/cafe-reagh/","https://gustobolsa-chat.pages.dev/?restaurant=chapter-five&table=1","22"
"Charmed by Redfern","sam@charmedbyredfern.com","","Surry Hills e Darlinghurst","+61 2 8084 7237","https://www.charmedbyredfern.com/","https://gustobolsa-chat.pages.dev/?restaurant=charmed-by-redfern&table=1","52"
"Chat Thai","bookings@amonrat.com.au","Thai Restaurant","Manly","(02) 9976 2939","http://www.chatthai.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=chat-thai&table=1","8"
"Cheers Bar","info@cheersbar.com.au","","Surry Hills e Darlinghurst","","http://www.cheersbar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=cheers-bar&table=1","33"
"Chef N Wok","contactus@chefnwok.com","Chinese Restaurant","Centro citta' (CBD)","0452 398 885","https://chefnwok.com","https://gustobolsa-chat.pages.dev/?restaurant=chef-n-wok&table=1","57"
"Chester White Cured Diner","chesterwhitediner@gmail.com","","Potts Point e Kings Cross","","https://www.chesterwhitediner.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=chester-white-cured-diner&table=1","42"
"Chez Beckett's","hello@beckettsbardining.com.au","French Restaurant","Glebe","0419 380 444","https://www.beckettsbardining.com.au","https://gustobolsa-chat.pages.dev/?restaurant=chez-beckett-s&table=1","23"
"Chica Bonita Manly","hola@chicabonita.com.au","Mexican Restaurant","Manly","(02) 9976 5255","http://www.chicabonita.com.au","https://gustobolsa-chat.pages.dev/?restaurant=chica-bonita-manly&table=1","15"
"Chin Chin","eat@chinchinsydney.com.au","Thai Restaurant","Surry Hills e Darlinghurst","(02) 9281 3322","https://www.chinchin.sydney","https://gustobolsa-chat.pages.dev/?restaurant=chin-chin&table=1","29"
"China Doll","reservations@chinadoll.com.au","asian","Potts Point e Kings Cross","","https://www.chinadoll.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=china-doll&table=1","119"
"Chinta Ria Buddha Love","info@chintariabuddhalove.com","Malay Restaurant","Haymarket e Chinatown","(02) 8072 9141","https://www.chintariabuddhalove.com","https://gustobolsa-chat.pages.dev/?restaurant=chinta-ria-buddha-love&table=1","61"
"Cho Cho San","enquiries@chochosan.com.au","japanese","Potts Point e Kings Cross","+61 2 9331 6601","https://chochosan.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=cho-cho-san&table=1","51"
"Chrysler Cafe & Bar","info@chryslercafebar.com","Café","Centro citta' (CBD)","(02) 9231 4711","http://www.chryslercafebar.com","https://gustobolsa-chat.pages.dev/?restaurant=chrysler-cafe-bar&table=1","35"
